"nim","fak","prodi","thn_masuk","sex","kota_asal","jml_ajuan_cuti","jml_tunggakan","tgl_lahir","umur","usia","beasiswa","marital","jml_aktivitas_kemahasiswaan","jml_prestasi","ips1","ips2","ips3","ips4","ips5","ips6","ips7","ips8","ips9","ips10","ips11","ips12","ips13","ips14","ipk","tgl_yud","masuk","masa_studi_bulan","masa_studi_tahun","label"
27696,"A","A11",2012,2,2,2,2,"1995-01-01",26,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27695,"A","A11",2012,2,2,2,2,"1993-05-21",28,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27694,"A","A11",2012,1,2,2,2,"1994-06-23",27,3,2,2,2,2,3,2,3,3,3,3,3,0,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27692,"A","A11",2012,1,1,2,2,"1992-04-22",29,3,2,2,2,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27690,"A","A11",2012,1,2,2,2,"1995-07-01",26,3,2,2,2,1,1,0,1,1,1,1,1,0,3,1,1,2,1,0,2,"2019-03-08","2012-08-30",78,6,3
27688,"A","A11",2012,1,2,2,2,"1992-12-06",28,3,2,2,2,2,2,2,3,3,3,0,3,3,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27685,"A","A11",2012,2,1,2,2,"1994-06-29",27,3,2,2,2,2,3,2,3,3,0,2,0,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27684,"A","A11",2012,1,1,2,2,"1994-07-10",27,3,2,2,2,2,2,2,0,2,3,3,2,2,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27681,"A","A11",2012,1,2,2,2,"1994-05-03",27,3,2,2,2,2,0,2,2,2,2,2,2,3,3,0,0,0,0,0,2,"2017-11-10","2012-08-30",62,5,3
27680,"A","A11",2012,1,1,2,2,"1994-07-17",27,3,2,2,2,2,3,3,2,3,3,3,3,3,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27679,"A","A11",2012,1,1,2,2,"1994-06-18",27,3,2,2,2,2,3,3,2,3,3,3,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27671,"A","A11",2012,1,2,2,2,"1994-04-08",27,3,2,2,2,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27670,"A","A11",2012,1,2,2,2,"1994-04-20",27,3,2,2,2,2,0,2,2,0,0,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27669,"A","A11",2012,1,1,2,2,"1994-09-20",27,3,2,2,1,2,2,3,3,0,0,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27667,"A","A11",2012,1,2,2,2,"1993-10-15",27,3,2,2,2,2,3,2,2,2,2,2,3,0,0,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27662,"A","A11",2012,1,1,2,2,"1994-09-15",27,3,2,2,1,2,2,2,3,2,3,2,2,2,3,0,0,0,0,0,2,"2017-08-14","2012-08-30",59,4,3
27650,"A","A11",2012,2,2,2,2,"1994-03-18",27,3,1,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27646,"A","A11",2012,2,1,2,2,"1995-06-09",26,3,2,2,1,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27645,"A","A11",2012,1,2,2,2,"1995-03-12",26,3,2,2,2,2,2,3,2,1,1,1,3,2,2,1,3,0,0,0,2,"2018-08-09","2012-08-30",71,5,3
27643,"A","A11",2012,1,2,2,2,"1994-05-10",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,3,0,0,0,0,3,"2017-08-08","2012-08-30",59,4,3
27642,"A","A11",2012,1,1,2,2,"1994-02-10",27,3,2,2,2,2,2,2,2,2,2,2,1,2,3,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27640,"A","A11",2012,1,2,2,2,"1994-08-16",27,3,2,2,2,2,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27638,"A","A11",2012,1,1,2,2,"1993-01-08",28,3,2,2,2,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27636,"A","A11",2012,1,2,2,2,"1994-06-06",27,3,2,2,2,2,3,3,3,2,3,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27634,"A","A11",2012,1,2,2,2,"1994-07-26",27,3,2,2,1,2,2,3,3,3,0,3,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27633,"A","A11",2012,1,2,2,2,"1994-02-07",27,3,2,2,2,2,2,2,3,2,2,3,2,3,3,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27623,"A","A11",2012,2,2,2,2,"1993-10-24",27,3,2,2,2,2,3,2,2,2,0,3,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27622,"A","A11",2012,1,1,2,2,"1993-06-10",28,3,2,2,2,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27621,"A","A11",2012,1,2,2,2,"1992-11-27",28,3,2,2,1,2,3,3,3,3,3,3,2,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27620,"A","A11",2012,1,2,2,2,"1994-09-05",27,3,2,2,2,2,3,3,3,3,3,3,2,0,0,3,0,0,0,0,3,"2017-08-08","2012-08-30",59,4,3
27610,"A","A11",2012,1,2,2,2,"1994-01-19",27,3,2,2,2,2,3,2,2,2,3,2,3,2,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27606,"A","A11",2012,1,2,2,2,"1994-12-24",26,3,1,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27605,"A","A11",2012,1,1,2,2,"1994-02-08",27,3,2,2,2,2,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27603,"A","A11",2012,1,2,2,2,"1994-05-24",27,3,2,2,2,2,3,2,0,3,2,0,3,2,0,0,0,0,0,3,3,"2019-08-09","2012-08-30",83,6,3
27599,"A","A11",2012,1,2,2,2,"1992-08-25",29,3,2,2,2,2,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27598,"A","A11",2012,1,2,2,2,"1994-08-14",27,3,2,2,2,2,0,2,3,3,3,2,3,3,3,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27597,"A","A11",2012,1,1,2,2,"1994-09-25",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-03-11","2012-08-30",42,3,2
27596,"A","A11",2012,1,2,2,2,"1994-12-23",26,3,2,2,2,2,3,2,0,3,2,3,2,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27595,"A","A11",2012,1,1,2,2,"1993-07-10",28,3,2,2,2,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27584,"A","A11",2012,1,2,2,2,"1993-04-06",28,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27576,"A","A11",2012,1,2,2,2,"1994-06-25",27,3,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,"2018-08-09","2012-08-30",71,5,3
27575,"A","A11",2012,1,2,2,2,"1994-08-01",27,3,2,2,2,2,3,2,2,2,0,2,3,0,0,0,0,0,0,0,2,"2019-03-08","2012-08-30",78,6,3
27574,"A","A11",2012,1,2,2,2,"1994-04-25",27,3,2,2,2,1,3,2,1,2,1,1,2,3,3,0,0,0,0,3,3,"2019-03-08","2012-08-30",78,6,3
27567,"A","A11",2012,1,1,2,2,"1994-05-04",27,3,2,2,2,2,3,2,3,3,3,3,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27565,"A","A11",2012,1,2,2,2,"1994-09-24",27,3,2,2,2,2,3,2,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27559,"A","A11",2012,1,2,2,2,"1994-12-01",26,3,2,2,2,1,0,2,2,2,2,3,3,3,2,3,0,0,0,0,2,"2017-11-10","2012-08-30",62,5,3
27557,"A","A11",2012,1,2,2,2,"1995-01-13",26,3,2,2,1,2,2,2,3,3,3,2,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27548,"A","A11",2012,1,2,2,2,"1993-03-23",28,3,2,2,2,2,3,2,2,3,2,3,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27544,"A","A11",2012,1,2,2,2,"1993-10-30",27,3,2,2,2,2,2,2,2,0,2,2,2,0,2,3,0,0,0,0,3,"2017-11-10","2012-08-30",62,5,3
27537,"A","A11",2012,1,2,2,2,"1992-04-21",29,3,1,2,2,2,0,3,0,2,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27528,"A","A11",2012,1,2,2,2,"1993-09-13",28,3,2,2,2,2,0,3,3,3,3,0,3,3,3,0,0,0,0,0,3,"2017-08-08","2012-08-30",59,4,3
27527,"A","A11",2012,1,2,2,2,"1994-08-10",27,3,2,2,2,2,0,2,2,3,2,0,3,3,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27525,"A","A11",2012,2,2,2,2,"1994-11-09",26,3,2,2,2,2,3,3,3,2,3,3,2,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27520,"A","A11",2012,1,2,2,2,"1994-01-19",27,3,2,2,2,2,3,2,2,3,0,3,3,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27512,"A","A11",2012,1,2,2,2,"1994-06-09",27,3,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,2,1,0,2,"2019-03-08","2012-08-30",78,6,3
27506,"A","A11",2012,2,1,2,2,"1994-09-13",27,3,2,2,2,1,3,3,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27498,"A","A11",2012,1,2,2,2,"1994-09-09",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27496,"A","A11",2012,2,2,2,2,"1994-01-17",27,3,2,2,1,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27494,"A","A11",2012,1,2,2,2,"1993-05-22",28,3,2,2,2,2,3,3,0,3,0,3,2,0,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27488,"A","A11",2012,1,1,2,2,"1993-11-22",27,3,2,2,2,1,3,3,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27482,"A","A11",2012,1,2,2,2,"1993-10-17",27,3,2,2,2,2,3,3,3,2,2,2,2,1,0,1,0,3,1,3,3,"2019-03-01","2012-08-30",78,6,3
27479,"A","A11",2012,1,2,2,2,"1994-09-05",27,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,0,0,0,0,3,"2017-08-14","2012-08-30",59,4,3
27477,"A","A11",2012,1,2,2,2,"1993-06-29",28,3,2,2,2,2,3,2,2,2,0,2,3,2,0,3,0,0,0,0,3,"2018-03-29","2012-08-30",66,5,3
27472,"A","A11",2012,2,1,2,2,"1993-03-15",28,3,2,2,2,2,3,3,3,3,0,2,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27469,"A","A11",2012,1,2,2,2,"1994-12-21",26,3,2,2,2,2,0,2,3,3,2,2,3,0,0,0,0,3,3,0,3,"2018-11-13","2012-08-30",74,6,3
27468,"A","A11",2012,1,2,2,2,"1994-08-22",27,3,2,2,2,2,2,3,0,2,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27467,"A","A11",2012,1,2,2,2,"1993-02-07",28,3,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,3,0,0,2,"2018-08-09","2012-08-30",71,5,3
27462,"A","A11",2012,2,2,2,2,"1994-07-08",27,3,2,2,2,2,3,3,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27459,"A","A11",2012,1,2,2,2,"1993-10-22",27,3,2,2,2,2,2,3,2,2,2,3,2,2,0,0,0,0,0,0,2,"2016-11-09","2012-08-30",50,4,3
27453,"A","A11",2012,1,2,2,2,"1993-06-29",28,3,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0,0,0,0,0,"2017-03-30","2012-08-30",55,4,3
27451,"A","A11",2012,1,2,2,2,"1993-11-03",27,3,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,2,"2019-11-12","2012-08-30",86,7,3
27449,"A","A11",2012,1,2,2,2,"1993-12-08",27,3,2,2,2,2,0,3,2,2,1,3,2,2,3,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27446,"A","A11",2012,1,2,2,2,"1994-02-19",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27445,"A","A11",2012,2,2,2,2,"1993-11-19",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-03-11","2012-08-30",42,3,2
27438,"A","A11",2012,2,1,2,2,"1994-08-10",27,3,2,2,2,2,0,3,0,3,3,3,3,0,0,0,0,0,0,0,3,"2016-03-11","2012-08-30",42,3,2
27434,"A","A11",2012,2,2,2,2,"1995-05-08",26,3,2,2,2,2,2,2,3,3,0,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27428,"A","A11",2012,1,2,2,2,"1994-07-14",27,3,2,2,2,2,0,3,3,3,0,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27427,"A","A11",2012,1,2,2,2,"1993-12-10",27,3,2,2,2,2,0,2,2,3,2,2,1,3,2,0,0,0,0,0,3,"2017-08-08","2012-08-30",59,4,3
27418,"A","A11",2012,1,2,2,2,"1992-01-08",29,3,2,2,2,2,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,"2019-11-12","2012-08-30",86,7,3
27412,"A","A11",2012,1,2,2,2,"1994-07-31",27,3,2,2,2,2,3,3,2,2,3,2,2,2,0,0,0,0,0,2,2,"2019-08-09","2012-08-30",83,6,3
27411,"A","A11",2012,1,2,2,2,"1994-01-29",27,3,2,2,2,2,3,2,3,3,3,0,3,0,0,0,0,0,0,0,3,"2016-03-11","2012-08-30",42,3,2
27409,"A","A11",2012,1,2,2,2,"1994-05-12",27,3,2,2,2,2,0,2,2,3,3,2,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27403,"A","A11",2012,2,2,2,2,"1994-01-17",27,3,2,2,2,2,3,3,3,3,3,3,3,0,3,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27395,"A","A11",2012,2,2,2,2,"1994-02-24",27,3,2,2,2,2,0,2,3,3,3,0,2,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27393,"A","A11",2012,1,2,2,2,"1992-03-02",29,3,2,2,2,2,3,2,2,2,2,2,2,2,3,3,0,0,0,0,3,"2017-08-08","2012-08-30",59,4,3
27392,"A","A11",2012,1,2,2,2,"1995-02-13",26,3,2,2,2,2,3,3,0,3,3,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27389,"A","A11",2012,1,2,2,2,"1994-01-11",27,3,2,2,2,2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,2,"2018-03-23","2012-08-30",66,5,3
27385,"A","A11",2012,1,2,2,2,"1994-12-29",26,3,2,2,2,2,2,2,2,3,3,3,2,0,0,0,0,0,0,0,3,"2019-11-12","2012-08-30",86,7,3
27380,"A","A11",2012,1,2,2,2,"1994-04-16",27,3,2,2,2,2,2,3,2,2,2,0,2,3,0,0,0,0,0,0,2,"2016-11-09","2012-08-30",50,4,3
27378,"A","A11",2012,1,2,2,2,"1994-09-18",27,3,2,1,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27376,"A","A11",2012,1,2,2,2,"1994-03-25",27,3,2,2,2,2,1,2,2,2,2,0,2,2,3,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27370,"A","A11",2012,1,2,2,2,"1994-10-30",26,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27365,"A","A11",2012,1,2,2,2,"1994-07-09",27,3,2,2,2,2,0,2,2,3,3,3,3,0,0,0,0,0,0,0,3,"2019-11-12","2012-08-30",86,7,3
27364,"A","A11",2012,2,2,2,2,"1994-04-20",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-02-26","2012-08-30",41,3,2
27363,"A","A11",2012,1,2,2,2,"1993-10-18",27,3,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,0,2,2,"2019-08-09","2012-08-30",83,6,3
27361,"A","A11",2012,1,2,2,2,"1994-12-30",26,3,2,2,2,2,0,2,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27357,"A","A11",2012,1,2,2,2,"1994-05-05",27,3,2,2,2,2,3,0,3,2,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27356,"A","A11",2012,1,2,2,2,"1994-07-08",27,3,1,2,2,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2019-11-12","2012-08-30",86,7,3
27355,"A","A11",2012,1,2,2,2,"1994-04-06",27,3,2,2,2,2,2,2,2,3,3,3,3,1,0,0,1,3,0,0,3,"2018-08-09","2012-08-30",71,5,3
27354,"A","A11",2012,2,2,2,2,"1994-09-11",27,3,2,2,2,2,3,3,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27351,"A","A11",2012,1,2,2,2,"1994-09-28",27,3,2,2,2,2,0,2,2,3,3,3,2,0,0,0,0,0,0,0,3,"2018-08-09","2012-08-30",71,5,3
27347,"A","A11",2012,1,1,2,2,"1993-12-17",27,3,2,2,2,2,0,2,2,0,2,2,3,3,3,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27346,"A","A11",2012,1,2,2,2,"1991-01-24",30,3,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,"2015-03-06","2012-08-30",30,2,1
27342,"A","A11",2012,1,2,2,2,"1994-07-16",27,3,2,2,2,2,3,2,2,2,2,2,0,1,1,0,3,0,0,0,3,"2017-11-17","2012-08-30",62,5,3
27338,"A","A11",2012,1,2,2,2,"1994-04-26",27,3,2,2,2,2,2,2,1,3,2,2,3,1,1,2,0,0,0,2,2,"2019-03-08","2012-08-30",78,6,3
27337,"A","A11",2012,1,2,2,2,"1994-03-28",27,3,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27336,"A","A11",2012,1,2,2,2,"1994-11-05",26,3,2,2,2,2,0,2,0,0,3,3,2,0,3,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27335,"A","A11",2012,1,2,2,2,"1994-03-28",27,3,2,2,2,2,0,2,3,2,3,3,2,0,0,0,0,0,0,0,3,"2018-03-29","2012-08-30",66,5,3
27334,"A","A11",2012,1,2,2,2,"1994-10-22",26,3,1,2,2,2,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27333,"A","A11",2012,1,2,2,2,"1993-10-30",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27332,"A","A11",2012,1,2,2,2,"1994-04-12",27,3,2,2,2,2,2,2,2,1,2,2,1,2,1,0,3,0,0,0,2,"2019-03-08","2012-08-30",78,6,3
27331,"A","A11",2012,1,2,2,2,"1994-06-15",27,3,2,2,2,2,2,3,2,2,2,2,2,2,0,0,3,0,0,0,3,"2018-03-29","2012-08-30",66,5,3
27329,"A","A11",2012,1,2,2,2,"1994-08-23",27,3,2,2,2,2,2,2,0,0,3,3,3,0,0,0,0,0,0,0,3,"2017-11-10","2012-08-30",62,5,3
